Assunto,Tipo de pedido,Detalhamento
"solicitando o serviço de roçagem da vegetação, na Rua Antônio Pinto Rodrigues, número 151 – Vila Mathias, Sabaúna.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a troca da galeria pluvial, no qual o escoamento de água se dá no sentido contrário da via da Rua Antônio Pinto Rodrigues",SERVIÇO,Manutenção Boca de lobo/tampa de bueiro - SMUZ
"solicitando o mutirão de zeladoria, visando atender às necessidades de manutenção e melhorias no Distrito de Sabaúna.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"Intensificação das rondas ostensivas preventivas da Guarda Municipal nas imediações da nova Unidade Básica de Saúde, situada na Rua Frei Bonifácio Harink - Botujuru",VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"solicitando o serviço de nivelamento, cascalhamento e direcionamento de águas pluviais, da Estrada da Esmeralda – Conjunto Residencial Santo Ângelo.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"Solicitando a manutenção asfáltica no trecho da Rua Joana Conteli Soave, esquina com a Rua Três – Parque São Martinho.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Serviço de nivelamento, cascalhamento e direcionamento de águas pluviais, por toda a extensão da Rua Joana Conteli Soave, Bairro – Parque São Martinho.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando a verificação de invasão de área pública, na Rua Joana Conteli Soave, altura do número 10, Bairro – Parque São Martinho.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a manutenção na luminária de número 23160, situada na Avenida Almerinda Villela Ferreira, número 59, Bairro – Conjunto Habitacional Brás Cubas.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando a manutenção na luminária de número 56370, situada na Avenida Almerinda Villela Ferreira, número 59, Bairro – Conjunto Habitacional Brás Cubas.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando a manutenção na luminária de número 23159, situada na Avenida Almerinda Villela Ferreira, número 59, Bairro – Conjunto Habitacional Brás Cubas.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando a manutenção na luminária de número 23158, situada na Avenida Almerinda Villela Ferreira, número 96, Bairro – Conjunto Habitacional Brás Cubas.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando a manutenção na luminária de número 23163, situada na Avenida Almerinda Villela Ferreira, número 99, Bairro – Conjunto Habitacional Brás Cubas.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando a manutenção na luminária de número 23157, situada na Avenida Almerinda Villela Ferreira, número 96, Bairro – Conjunto Habitacional Brás Cubas.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando o serviço de nivelamento e cascalhamento, na Travessa do Bosque, entre a Rua Maria de Paula Valezini e Rua José Maximiano Filho, Bairro – Jundiapeba.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando o serviço de limpeza, roçada de mato, recolha de lixo e entulho, na Travessa do Bosque",SERVIÇO,Coleta de Lixo/Entulho - SMSUZ
"solicitando o serviço de limpeza, roçada de mato e raspagem de guia nas Ruas do Distrito de Sabaúna.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando o nivelamento e cascalhamento na Estrada da Cruz Verde, Bairro – Moralogia.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicito a execução dos serviços de poda das árvores na Praça Raia de Malha – Vereador Nelson da Cunha Mesquita, situada na Avenida Lothar Waldemar Hoehne, esquina com a Rua Manoel Margarido, Bairro – Vila Aurea Maria.",SERVIÇO,Poda de Árvore - SMAPA
"solciito a revitalização da Praça Raia de Malha - Vereador Nelson da Cunha Mesquita, situada na Avenida Lothar Waldemar Hoehne – Vila Aurea.",SERVIÇO,Manutenção Praça/Parques - SMSUZ
"solicitando a manutenção da extensão final asfaltada da Estrada do Soichi Ueda, Bairro – Vila Moraes.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando a capinação e limpeza, por toda a extensão da Estrada Municipal Soichi Ueno, Bairro – Vila Moraes.",SERVIÇO,Limpeza Pública - SMSUZ
solicitando o nivelamento e cascalhamento da Estrada Velha de Santa Isabel – Mogi das Cruzes.,SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
